,year,hs2,exporter,importer,exporter_iso3,importer_iso3,partner,partner_iso3,direction,value,quantity,price,net_export,gdp_partner,gdp_russia,cpi_partner,cpi_russia,ex_rate_partner,ex_rate_russia,bilateral_er,iip_partner,iip_russia,dist,contig,comlang_off,unfriendly,sanction,eu_member,eaes_member,brics_member,cis_member,ln_value,ln_quantity,ln_price,ln_gdp_partner,ln_gdp_russia,ln_iip_partner,ln_iip_russia,ln_dist,ln_bilateral_er
0,2017,9,Albania,Russian Federation,ALB,RUS,Albania,ALB,import,10.014,5.001,2.0023995200959805,,13258268435.6048,1574199360089.0,1.98666133171195,3.68332944412233,119.1,58.3428011851719,2.0413829569477344,100.82,106.88,2063.678,0,0,1,0,0,0,0,0,2.3991671908402896,1.7919261220073759,1.099411808998527,23.307887227702352,28.08476791615614,4.62320654847419,4.681019498271529,7.632729561033053,1.1123123320219734
1,2017,9,Azerbaijan,Russian Federation,AZE,RUS,Azerbaijan,AZE,import,5144.972,1037.844,4.957365461475906,,40866627351.9817,1574199360089.0,12.9359184187335,3.68332944412233,1.72115480222734,58.3428011851719,0.0295007227500893,99.07,106.88,1930.747,1,0,0,0,0,0,0,1,8.54596955170757,6.945863835456847,1.784628346685135,24.433579609781134,28.08476791615614,4.605869941102364,4.681019498271529,7.566180053816499,0.029073949525372452
2,2017,9,Argentina,Russian Federation,ARG,RUS,Argentina,ARG,import,2431.309,1605.177,1.5146672298444346,,643628393281.364,1574199360089.0,,3.68332944412233,16.5627069251411,58.3428011851719,0.2838860422997755,97.79,106.88,13505.36,0,0,0,0,0,0,0,0,7.796596290936191,7.381612100139945,0.9221404806202463,27.19038736744077,28.08476791615614,4.592996385056383,4.681019498271529,9.510915964599635,0.24989144922608994
3,2017,9,Australia,Russian Federation,AUS,RUS,Australia,AUS,import,5.605,0.237,23.649789029535867,,1325582658156.54,1574199360089.0,1.94864740944521,3.68332944412233,1.30475807671592,58.3428011851719,0.0223636515595951,98.86,106.88,14503.07,0,0,1,1,0,0,0,0,1.8878269379742887,0.21268909341035092,3.204768341812555,27.912873220714243,28.08476791615614,4.603769205072463,4.681019498271529,9.582184578677866,0.022117251935194867
4,2017,9,Austria,Russian Federation,AUT,RUS,Austria,AUT,import,19119.567,821.9019999999999,23.262587267095103,,414926138132.691,1574199360089.0,2.08126911385585,3.68332944412233,0.885205508269372,58.3428011851719,0.0151724889838568,107.46,106.88,1675.699,0,0,1,1,1,0,0,0,9.858519840977413,6.712837117037685,3.1889355452777424,26.751366360935975,28.08476791615614,4.686381441412914,4.681019498271529,7.42458225853397,0.015058537941177128
5,2017,9,Bahrain,Russian Federation,BHR,RUS,Bahrain,BHR,import,0.022,0.005,4.4,,37204813829.7872,1574199360089.0,1.38671830576399,3.68332944412233,0.376,58.3428011851719,0.0064446682771817,107.24,106.88,3450.924,0,0,0,0,0,0,0,0,0.02176149178151271,0.004987541511038968,1.6863989535702288,24.339703993906948,28.08476791615614,4.684350983862532,4.681019498271529,8.146687035738479,0.006423990197274081
6,2017,9,Armenia,Russian Federation,ARM,RUS,Armenia,ARM,import,2723.86,613.98,4.436398579758299,,11527458709.0158,1574199360089.0,0.969553268816178,3.68332944412233,482.716393849129,58.3428011851719,8.273795293391117,140.77,106.88,1803.035,0,0,0,0,0,1,0,1,7.910172329630756,6.421589746952518,1.6931168158522951,23.167997740170648,28.08476791615614,4.95420602612954,4.681019498271529,7.497781101764742,2.2271927125523856
7,2017,9,Belgium,Russian Federation,BEL,RUS,Belgium,BEL,import,3892.378,718.93,5.41412654917725,,500908767351.53,1574199360089.0,2.12597086002608,3.68332944412233,0.885205508269372,58.3428011851719,0.0151724889838568,105.61,106.88,2261.25,0,0,1,1,1,0,0,0,8.267032440251038,6.579153985061492,1.8585028312255703,26.939689820356104,28.08476791615614,4.669177315962384,4.681019498271529,7.724115172231243,0.015058537941177128
8,2017,9,Brazil,Russian Federation,BRA,RUS,Brazil,BRA,import,85052.397,31623.723,2.6895124587323256,,2063514977365.65,1574199360089.0,3.44637335032668,3.68332944412233,3.19138944630048,58.3428011851719,0.0547006551188972,96.12,106.88,11820.15,0,0,0,0,0,0,1,0,11.351034538237432,10.361694467098182,1.3054943243183685,28.35543194434709,28.08476791615614,4.575947327311188,4.681019498271529,9.377645578951656,0.053256987442646
9,2017,9,Bulgaria,Russian Federation,BGR,RUS,Bulgaria,BGR,import,460.952,124.428,3.7045681036422673,,59167647387.606,1574199360089.0,2.06159619443141,3.68332944412233,1.73545833333333,58.3428011851719,0.0297458863489469,109.68,106.88,1785.898,0,0,1,1,1,0,0,0,6.1354609895802685,4.831731888760769,1.548533973636291,24.80364073263847,28.08476791615614,4.7066431549187255,4.681019498271529,7.488236434627176,0.02931205952048684
10,2017,9,Myanmar,Russian Federation,MMR,RUS,Myanmar,MMR,import,10.325,0.952,10.845588235294116,,66053040483.0016,1574199360089.0,4.57253655317506,3.68332944412233,1360.35870704085,58.3428011851719,23.316650544824917,120.52,106.88,6526.041,0,0,0,0,0,0,0,0,2.4270126713690976,0.6688544879909007,2.471955497440922,24.91372389992114,28.08476791615614,4.800078858287518,4.681019498271529,8.783708980214998,3.1911613233049168
11,2017,9,Burundi,Russian Federation,BDI,RUS,Burundi,BDI,import,1360.737,320.29,4.248452964500921,,2723586962.84034,1574199360089.0,16.0525353030392,3.68332944412233,1729.055,58.3428011851719,29.636132734049244,101.17,106.88,6624.152,0,0,0,0,0,0,0,0,7.216516369678836,5.772344142076929,1.6579333597503907,21.725215585190778,28.08476791615614,4.626638092603332,4.681019498271529,8.798628593987454,3.422180120654793
12,2017,9,Belarus,Russian Federation,BLR,RUS,Belarus,BLR,import,2426.411,1667.388,1.455216782176674,,54725405751.1559,1574199360089.0,6.03183725177786,3.68332944412233,1.93234166666667,58.3428011851719,0.0331204814889447,104.39,106.88,686.9657,1,0,0,0,0,1,0,1,7.794580536259588,7.419613169777144,0.898215059660355,24.725593894711697,28.08476791615614,4.657667754945845,4.681019498271529,6.533738982039396,0.032583815949171965
13,2017,9,Cambodia,Russian Federation,KHM,RUS,Cambodia,KHM,import,31.020000000000003,4.966,6.246476037051954,,29355665909.7905,1574199360089.0,2.91263557371475,3.68332944412233,4050.5799859191,58.3428011851719,69.4272455836175,120.3,106.88,7534.794,0,0,0,0,0,0,0,0,3.4663607075685685,1.7860766860925568,1.980515286844352,24.102751410953708,28.08476791615614,4.798266815950004,4.681019498271529,8.927419480426103,4.254580199425436
14,2017,9,Cameroon,Russian Federation,CMR,RUS,Cameroon,CMR,import,2174.845,661.907,3.2857259403511363,,36098547033.1655,1574199360089.0,0.640409149881966,3.68332944412233,580.656749587858,58.3428011851719,9.952500356383894,92.6,106.88,6231.046,0,0,0,0,0,0,0,0,7.685172373821094,6.4966347088536835,1.4552899520184097,24.309518453114194,28.08476791615614,4.539030383483547,4.681019498271529,8.737459968781366,2.3935677732449614
15,2017,9,Canada,Russian Federation,CAN,RUS,Canada,CAN,import,21.154,1.351,15.658031088082902,,1649265644244.09,1574199360089.0,1.5968841285297,3.68332944412233,1.29793584646039,58.3428011851719,0.0222467180199477,101.71,106.88,7495.521,0,0,1,1,0,0,0,0,3.098018067094741,0.8548407695579324,2.812892447766834,28.131351240676732,28.08476791615614,4.631909483177713,4.681019498271529,8.92219432523831,0.022002869712044053
16,2017,9,Sri Lanka,Russian Federation,LKA,RUS,Sri Lanka,LKA,import,174462.86700000003,36704.495,4.753174427273827,,94369350285.5814,1574199360089.0,7.70413767850602,3.68332944412233,152.446413948767,58.3428011851719,2.612942999855687,105.84,106.88,6576.936,0,0,0,0,0,0,0,0,12.069472933280936,10.510681750355051,1.7497517767807946,25.270482178210603,28.08476791615614,4.67133238824176,4.681019498271529,8.791476297300637,1.2845226756379786
17,2017,9,Chile,Russian Federation,CHL,RUS,Chile,CHL,import,5.425,0.318,17.059748427672954,,276154259981.097,1574199360089.0,2.18271846868521,3.68332944412233,648.833792598261,58.3428011851719,11.121060000855172,99.11,106.88,14153.3,0,0,0,0,0,0,0,0,1.8601966307812834,0.2761154360803155,2.8936856180841195,26.34422545950849,28.08476791615614,4.606269581431392,4.681019498271529,9.557773743832898,2.4949444356333026
18,2017,9,China,Russian Federation,CHN,RUS,China,CHN,import,70131.074,29438.672,2.3822770945645915,,12537559062282.9,1574199360089.0,1.59313600071433,3.68332944412233,6.75875508633597,58.3428011851719,0.115845570473804,115.8,106.88,5795.045,1,0,0,0,0,0,1,0,11.158135514742602,10.2900984314764,1.2185491792799763,30.15974998005567,28.08476791615614,4.760463070394127,4.681019498271529,8.664931067385588,0.10961247667239513
19,2017,9,Colombia,Russian Federation,COL,RUS,Colombia,COL,import,12995.051,4650.625,2.794259051202796,,311866875156.879,1574199360089.0,4.3143132569501,3.68332944412233,2951.48691120161,58.3428011851719,50.58870762536757,103.52,106.88,10979.1,0,0,0,0,0,0,0,0,9.472400821065687,8.444971899899244,1.3334891483602913,26.46584225151486,28.08476791615614,4.649378440652412,4.681019498271529,9.303839822490172,3.943302804067951
20,2017,9,Comoros,Russian Federation,COM,RUS,Comoros,COM,import,765.466,110.84,6.906044749188019,,1077439756.12221,1574199360089.0,,3.68332944412233,435.492562190889,58.3428011851719,7.464375267287843,,106.88,7521.362,0,0,0,0,0,0,0,0,6.641790339859032,4.7170692784855,2.067627625013803,20.797853468515783,28.08476791615614,,4.681019498271529,8.925635463370824,2.135866211005476
21,2017,9,Congo,Russian Federation,COG,RUS,Congo,COG,import,69.397,28.304,2.4518442622950825,,11834473039.3645,1574199360089.0,0.450063823285532,3.68332944412233,580.656749587858,58.3428011851719,9.952500356383894,119.17,106.88,6985.611,0,0,0,0,0,0,0,0,4.254150648619646,3.377724025476513,1.2389086569934604,23.194282553392085,28.08476791615614,4.788907406923208,4.681019498271529,8.851750882177877,2.3935677732449614
23,2017,9,Costa Rica,Russian Federation,CRI,RUS,Costa Rica,CRI,import,663.3489999999999,180.122,3.6827761184086336,,60516044656.5298,1574199360089.0,1.6259069299173,3.68332944412233,567.51309030978,58.3428011851719,9.727217047885183,107.38,106.88,10967.48,0,0,0,0,0,0,0,0,6.498807613805507,5.199170837356678,1.543891121757432,24.826174367774556,28.08476791615614,4.685643570137968,4.681019498271529,9.302780983960698,2.3727841612024427
24,2017,9,Croatia,Russian Federation,HRV,RUS,Croatia,HRV,import,54.32,13.285,4.088821979676327,,56186190437.9959,1574199360089.0,1.12937210282344,3.68332944412233,6.623831,58.3428011851719,0.113532961487003,107.64,106.88,1875.36,0,0,1,1,1,0,0,0,4.013134506796558,2.6592100356827366,1.6270463655989444,24.751936841925474,28.08476791615614,4.688039663810386,4.681019498271529,7.537089008810755,0.10753780897182301
26,2017,9,Cyprus,Russian Federation,CYP,RUS,Cyprus,CYP,import,25.885,6.27,4.128389154704944,,22946570628.7576,1574199360089.0,0.531766496174477,3.68332944412233,0.885205508269372,58.3428011851719,0.0151724889838568,121.4,106.88,2316.67,0,0,1,0,1,0,0,0,3.2915685102616417,1.9837562915454279,1.6347916049419973,23.856434334390233,28.08476791615614,4.807294370078226,4.681019498271529,7.748317649657977,0.015058537941177128
27,2017,9,Czechia,Russian Federation,CZE,RUS,Czechia,CZE,import,388.942,39.808,9.770448151125402,,221563575696.217,1574199360089.0,2.45053398460141,3.68332944412233,23.3763333333333,58.3428011851719,0.4006721113568079,111.25,106.88,1673.0,0,0,1,1,1,0,0,0,5.965998010115364,3.7088781406206253,2.3768061013634356,26.12397540871198,28.08476791615614,4.720728526622364,4.681019498271529,7.422971251049421,0.3369522009604764
28,2017,9,Denmark,Russian Federation,DNK,RUS,Denmark,DNK,import,38.952000000000005,11.229,3.468875233769704,,331610593961.988,1574199360089.0,1.14713216957606,3.68332944412233,6.60289346561404,58.3428011851719,0.1131740905730148,107.09,106.88,1566.362,0,0,1,1,1,0,0,0,3.6876787335374175,2.503810180207233,1.49713675140758,26.527227207715885,28.08476791615614,4.682964213428112,4.681019498271529,7.357149230353968,0.10721547567093952
29,2017,9,Dominican Rep.,Russian Federation,DOM,RUS,Dominican Rep.,DOM,import,238.675,32.078,7.440457634515867,,79070274743.1658,1574199360089.0,3.27955694678547,3.68332944412233,47.5343581962482,58.3428011851719,0.8147424743179674,105.55,106.88,9365.754,0,0,0,0,0,0,0,0,5.4792838389630605,3.4988684088356017,2.133036529236937,25.093602847718618,28.08476791615614,4.668614358544626,4.681019498271529,9.144921890453677,0.5959435702217236
30,2017,9,Ecuador,Russian Federation,ECU,RUS,Ecuador,ECU,import,43.288,3.612,11.984496124031006,,104467486000.0,1574199360089.0,0.41733558866682,3.68332944412233,1.0,58.3428011851719,0.0171400752052706,104.98,106.88,11640.42,0,0,0,0,0,0,0,0,3.7907137599952043,1.5286616024068127,2.5637560398974943,25.372141721191163,28.08476791615614,4.663250397064616,4.681019498271529,9.36232470697202,0.01699484131383284
31,2017,9,El Salvador,Russian Federation,SLV,RUS,El Salvador,SLV,import,253.735,79.282,3.2004111904341466,,24979190000.0,1574199360089.0,1.01235403315575,3.68332944412233,1.0,58.3428011851719,0.0171400752052706,102.6,106.88,10866.28,0,0,0,0,0,0,0,0,5.540223789113131,4.385545436423,1.4351824229815078,23.94130891521739,28.08476791615614,4.640537329825382,4.681019498271529,9.293511718811708,0.01699484131383284
