year,hs2,exporter,importer,exporter_iso3,importer_iso3,partner,partner_iso3,direction,value,quantity,price,net_export,gdp_partner,gdp_russia,cpi_partner,cpi_russia,ex_rate_partner,ex_rate_russia,bilateral_er,iip_partner,iip_russia,dist,contig,comlang_off,unfriendly,sanction,eu_member,eaes_member,brics_member,cis_member
2017,09,China,Russian Federation,CHN,RUS,China,CHN,import,70131.074,29438.672,2.3822770945645915,,12537559062282.9,1574199360089.0,1.59313600071433,3.68332944412233,6.75875508633597,58.3428011851719,0.11584557047380406,115.8,106.88,5795.045,1.0,0.0,0,0,0,0,1,0
2017,09,Colombia,Russian Federation,COL,RUS,Colombia,COL,import,12995.051000000001,4650.625,2.7942590512027956,,311866875156.879,1574199360089.0,4.3143132569501,3.68332944412233,2951.48691120161,58.3428011851719,50.58870762536757,103.52,106.88,10979.1,0.0,0.0,0,0,0,0,0,0
2017,09,Comoros,Russian Federation,COM,RUS,Comoros,COM,import,765.466,110.84,6.906044749188019,,1077439756.12221,1574199360089.0,,3.68332944412233,435.492562190889,58.3428011851719,7.464375267287843,,106.88,7521.362,0.0,0.0,0,0,0,0,0,0
2017,09,Congo,Russian Federation,COG,RUS,Congo,COG,import,69.397,28.304,2.4518442622950825,,11834473039.3645,1574199360089.0,0.450063823285532,3.68332944412233,580.656749587858,58.3428011851719,9.952500356383894,119.17,106.88,6985.611,0.0,0.0,0,0,0,0,0,0
2017,09,Dem. Rep. of the Congo,Russian Federation,COD,RUS,Dem. Rep. of the Congo,COD,import,108.951,39.853,2.733821795096981,,38019264794.8263,1574199360089.0,,3.68332944412233,1464.41793163743,58.3428011851719,25.100233480212445,,106.88,,,,0,0,0,0,0,0
2017,09,Costa Rica,Russian Federation,CRI,RUS,Costa Rica,CRI,import,663.3489999999999,180.122,3.6827761184086336,,60516044656.5298,1574199360089.0,1.6259069299173,3.68332944412233,567.51309030978,58.3428011851719,9.727217047885183,107.38,106.88,10967.48,0.0,0.0,0,0,0,0,0,0
2017,09,Croatia,Russian Federation,HRV,RUS,Croatia,HRV,import,54.32,13.285,4.088821979676327,,56186190437.9959,1574199360089.0,1.12937210282344,3.68332944412233,6.623831,58.3428011851719,0.11353296148700309,107.64,106.88,1875.36,0.0,0.0,1,1,1,0,0,0
2017,09,Cuba,Russian Federation,CUB,RUS,Cuba,CUB,import,620.277,95.202,6.515377828196887,,96850649691.7406,1574199360089.0,,3.68332944412233,,58.3428011851719,,,106.88,9603.391,0.0,0.0,0,0,0,0,0,0
2017,09,Cyprus,Russian Federation,CYP,RUS,Cyprus,CYP,import,25.885,6.27,4.128389154704944,,22946570628.7576,1574199360089.0,0.531766496174477,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,121.4,106.88,2316.67,0.0,0.0,1,0,1,0,0,0
2017,09,Czechia,Russian Federation,CZE,RUS,Czechia,CZE,import,388.942,39.808,9.770448151125402,,221563575696.217,1574199360089.0,2.45053398460141,3.68332944412233,23.3763333333333,58.3428011851719,0.4006721113568079,111.25,106.88,1673.0,0.0,0.0,1,1,1,0,0,0
